news_headline,news_article,news_category,full_text,clean_text
IBM's Client Innovation Center inaugurated in Odisha by CM Patnaik ,"Odisha Chief Minister Naveen Patnaik inaugurated IBM's Client Innovation Center (CIC) in Bhubaneswar. Speaking at the inauguration, Patnaik called it a ""watershed moment, signifying the fast changing IT ecosystem in the state"". He added that Odisha is now fast emerging as a technology resource hub. ""Over the years, the resurgent Odisha has scripted success stories in many spheres,"" Patnaik said. ",technology,"IBM's Client Innovation Center inaugurated in Odisha by CM Patnaik . Odisha Chief Minister Naveen Patnaik inaugurated IBM's Client Innovation Center (CIC) in Bhubaneswar. Speaking at the inauguration, Patnaik called it a ""watershed moment, signifying the fast changing IT ecosystem in the state"". He added that Odisha is now fast emerging as a technology resource hub. ""Over the years, the resurgent Odisha has scripted success stories in many spheres,"" Patnaik said. ",ibms client innovation center inaugurate odisha cm patnaik odisha chief minister naveen patnaik inaugurate ibms client innovation center cic bhubaneswar speak inauguration patnaik call watershed moment signify fast change ecosystem state add odisha fast emerge technology resource hub year resurgent odisha script success story many sphere patnaik say
Vietnam's VinFast recalls a third of EVs it sold to replace sensors,"Vietnamese EV-maker VinFast on Saturday said it would recall 730 of its model VF e34 EVs to make checks and replace their side crash sensors. ""The side crash sensor...is likely to encounter an incompatibility error with the airbag controller...and...may send an incorrect signal to the controller,"" VinFast said. The firm has sold 2,208 EVs since its launch late last year.",technology,"Vietnam's VinFast recalls a third of EVs it sold to replace sensors. Vietnamese EV-maker VinFast on Saturday said it would recall 730 of its model VF e34 EVs to make checks and replace their side crash sensors. ""The side crash sensor...is likely to encounter an incompatibility error with the airbag controller...and...may send an incorrect signal to the controller,"" VinFast said. The firm has sold 2,208 EVs since its launch late last year.",vietnam vinfast recall third evs sell replace sensor vietnamese ev maker vinfast saturday say would recall model vf e evs make check replace side crash sensor side crash sensor likely encounter incompatibility error airbag controller may send incorrect signal controller vinfast say firm sell evs since launch late last year
"New ransomware 'Prestige' targeted Ukraine, Poland entities: Microsoft","Microsoft on Friday said it has detected new ransomware named 'Prestige' that targeted transportation and logistics companies in Ukraine and Poland. The ransomware was deployed on October 11 in attacks occurring within an hour of each other across all victims, Microsoft said. 'Prestige' encrypts a victim's data and asks them to purchase a decryption tool to unlock data, it added.",technology,"New ransomware 'Prestige' targeted Ukraine, Poland entities: Microsoft. Microsoft on Friday said it has detected new ransomware named 'Prestige' that targeted transportation and logistics companies in Ukraine and Poland. The ransomware was deployed on October 11 in attacks occurring within an hour of each other across all victims, Microsoft said. 'Prestige' encrypts a victim's data and asks them to purchase a decryption tool to unlock data, it added.",new ransomware prestige target ukraine poland entity microsoft microsoft friday say detect new ransomware name prestige target transportation logistic company ukraine poland ransomware deploy october attack occur within hour across victim microsoft say prestige encrypt victim datum ask purchase decryption tool unlock datum add
Meta to shut Instant Articles on Facebook by April 2023: Report,"Meta will shut its Instant Articles format on Facebook by April 2023 as the company aims to focus on TikTok-like offerings, Axios reported. With this step, news publishers will get six months to re-adjust their Facebook strategies. Earlier this month, Meta announced that it will shut its newsletter product called Bulletin for creators and writers by early 2023.",technology,"Meta to shut Instant Articles on Facebook by April 2023: Report. Meta will shut its Instant Articles format on Facebook by April 2023 as the company aims to focus on TikTok-like offerings, Axios reported. With this step, news publishers will get six months to re-adjust their Facebook strategies. Earlier this month, Meta announced that it will shut its newsletter product called Bulletin for creators and writers by early 2023.",meta shut instant article facebook april report meta shut instant article format facebook april company aim focus tiktok like offering axio report step news publisher get six month adjust facebook strategy early month meta announce shut newsletter product call bulletin creator writer early
Apple's mixed reality headset to scan eyes for payments: Report,"Apple's rumored virtual and augmented reality headset will reportedly have the ability to scan eyes to allow users to sign into their accounts and make payments. The feature will make it easier for multiple people to use the same device, The Information reported. The headset will also have downward-facing cameras to capture the leg movement of users, the report stated.",technology,"Apple's mixed reality headset to scan eyes for payments: Report. Apple's rumored virtual and augmented reality headset will reportedly have the ability to scan eyes to allow users to sign into their accounts and make payments. The feature will make it easier for multiple people to use the same device, The Information reported. The headset will also have downward-facing cameras to capture the leg movement of users, the report stated.",apple mixed reality headset scan eye payment report apple rumor virtual augmented reality headset reportedly ability scan eye allow user sign account make payment feature make easy multiple people use device information report headset also downward face camera capture leg movement user report state
Netflix launches 'Basic with Ads' plan with 15 to 30-second-long ads,"Netflix has launched a new ""Basic with Ads"" plan in 12 countries including the US, the UK, Australia, France and Canada. This is Netflix's most affordable monthly plan yet and comes with certain compromises, along with ads. The plan will be available starting November. The ads will last 15-30 seconds and play before and during shows and films.",technology,"Netflix launches 'Basic with Ads' plan with 15 to 30-second-long ads. Netflix has launched a new ""Basic with Ads"" plan in 12 countries including the US, the UK, Australia, France and Canada. This is Netflix's most affordable monthly plan yet and comes with certain compromises, along with ads. The plan will be available starting November. The ads will last 15-30 seconds and play before and during shows and films.",netflix launch basic ad plan second long ad netflix launch new basic ad plan country include us uk australia france canada netflix affordable monthly plan yet come certain compromise along ad plan available start november ad last second play show film
SC rejects Meta's plea against CCI probe into WhatsApp's privacy policy,"The Supreme Court has dismissed Meta's pleas challenging the investigation ordered by the Competition Commission of India (CCI) into WhatsApp's updated privacy policy of 2021. ""The CCI is an independent authority to consider any violation of the provisions of the Competition Act of 2002...[and] cannot be dissuaded from investigation,"" a bench of Justices MR Shah and Sudhanshu Dhulia said.",technology,"SC rejects Meta's plea against CCI probe into WhatsApp's privacy policy. The Supreme Court has dismissed Meta's pleas challenging the investigation ordered by the Competition Commission of India (CCI) into WhatsApp's updated privacy policy of 2021. ""The CCI is an independent authority to consider any violation of the provisions of the Competition Act of 2002...[and] cannot be dissuaded from investigation,"" a bench of Justices MR Shah and Sudhanshu Dhulia said.",sc reject meta plea cci probe whatsapps privacy policy supreme court dismiss metas plea challenge investigation order competition commission india cci whatsapps update privacy policy cci independent authority consider violation provision competition act [ ] not dissuade investigation bench justice mr shah sudhanshu dhulia say
There's not just SpaceX: US as startup seeks funding for Starlink in Ukraine,"Pentagon's deputy press secretary Sabrina Singh confirmed being in touch with SpaceX after it sought funding for Starlink in Ukraine, adding, ""There's not just SpaceX, there are other entities that we can...partner with when it comes to providing Ukraine with what they need on the battlefield."" Earlier, SpaceX said it can no longer donate or fund Starlink terminals for Ukraine.",technology,"There's not just SpaceX: US as startup seeks funding for Starlink in Ukraine. Pentagon's deputy press secretary Sabrina Singh confirmed being in touch with SpaceX after it sought funding for Starlink in Ukraine, adding, ""There's not just SpaceX, there are other entities that we can...partner with when it comes to providing Ukraine with what they need on the battlefield."" Earlier, SpaceX said it can no longer donate or fund Starlink terminals for Ukraine.",not spacex startup seek funding starlink ukraine pentagon deputy press secretary sabrina singh confirm touch spacex seek funding starlink ukraine add not spacex entity partner come provide ukraine need battlefield early spacex say no long donate fund starlink terminal ukraine
India aims for crypto SOPs during G20 presidency: Sitharaman,"Stating that all countries want cryptocurrency to not be misutilised, Finance Minister Nirmala Sitharaman said that during its G20 presidency, India is aiming to develop standard operating procedures (SOPs) for cryptocurrency. Sitharaman said that she wants G20 countries to develop a technology-driven regulatory framework. She added that individually no country can effectively regulate crypto.",technology,"India aims for crypto SOPs during G20 presidency: Sitharaman. Stating that all countries want cryptocurrency to not be misutilised, Finance Minister Nirmala Sitharaman said that during its G20 presidency, India is aiming to develop standard operating procedures (SOPs) for cryptocurrency. Sitharaman said that she wants G20 countries to develop a technology-driven regulatory framework. She added that individually no country can effectively regulate crypto.",india aim crypto sop g presidency sitharaman state country want cryptocurrency not misutilise finance minister nirmala sitharaman say g presidency india aim develop standard operating procedure sop cryptocurrency sitharaman say want g country develop technology drive regulatory framework add individually no country effectively regulate crypto
"Wipro senior exec Angan Guha quits, 5th senior-level exit in 2 months: Report","Angan Guha, a senior Wipro executive who was overseeing a third of the company's overall business, has moved out of the firm, Mint reported. Guha is the fifth senior-level executive to leave the Bengaluru-headquartered firm in the past two months. Guha was directly responsible for the largest share of Wipro's business, Americas 2 Strategic Market Unit.
",technology,"Wipro senior exec Angan Guha quits, 5th senior-level exit in 2 months: Report. Angan Guha, a senior Wipro executive who was overseeing a third of the company's overall business, has moved out of the firm, Mint reported. Guha is the fifth senior-level executive to leave the Bengaluru-headquartered firm in the past two months. Guha was directly responsible for the largest share of Wipro's business, Americas 2 Strategic Market Unit.
",wipro senior exec angan guha quit th senior level exit month report angan guha senior wipro executive oversee third company overall business move firm mint report guha fifth senior level executive leave bengaluru headquarter firm past two month guha directly responsible large share wipros business america strategic market unit
NASA's SpaceX Crew-4 astronauts return to Earth after 170 days,"NASA's SpaceX Crew-4 mission astronauts have safely returned to Earth from International Space Station. A SpaceX capsule, carrying three NASA astronauts and one European Space Agency's astronaut, splashed down in the Atlantic Ocean off the coast of Florida on Friday. The astronauts returned after spending 170 days in orbit, NASA said. The mission was launched on April 27.",technology,"NASA's SpaceX Crew-4 astronauts return to Earth after 170 days. NASA's SpaceX Crew-4 mission astronauts have safely returned to Earth from International Space Station. A SpaceX capsule, carrying three NASA astronauts and one European Space Agency's astronaut, splashed down in the Atlantic Ocean off the coast of Florida on Friday. The astronauts returned after spending 170 days in orbit, NASA said. The mission was launched on April 27.",nasa spacex crew astronaut return earth day nasa spacex crew mission astronaut safely return earth international space station spacex capsule carry three nasa astronaut one european space agencys astronaut splash atlantic ocean coast florida friday astronaut return spend day orbit nasa say mission launch april
Instagram introduces AI-powered age verification process in India,"Instagram has announced that it is expanding the testing options for its AI-powered age verification feature to India and Brazil. The feature will allow users to upload a video of themselves, which Instagram runs through an AI system to determine whether the user is aged 18 or older. Meta has partnered with Yoti that specialises in AI-based online age verification.",technology,"Instagram introduces AI-powered age verification process in India. Instagram has announced that it is expanding the testing options for its AI-powered age verification feature to India and Brazil. The feature will allow users to upload a video of themselves, which Instagram runs through an AI system to determine whether the user is aged 18 or older. Meta has partnered with Yoti that specialises in AI-based online age verification.",instagram introduce ai power age verification process india instagram announce expand testing option ai power age verification feature india brazil feature allow user upload video instagram run ai system determine whether user age old meta partner yoti specialise ai base online age verification
Russia trying to kill Starlink internet service in Ukraine: Musk,"SpaceX CEO Elon Musk has said that Starlink is the only internet service left in Ukraine, and Russia is actively trying to kill it too. ""Internet fibre, phone lines, cell towers...have been destroyed. Starlink is all that's left. For now,"" Musk tweeted. Ukraine's Vice Prime Minister Mykhailo Fedorov said Musk is among the world's top private donors supporting Ukraine.",technology,"Russia trying to kill Starlink internet service in Ukraine: Musk. SpaceX CEO Elon Musk has said that Starlink is the only internet service left in Ukraine, and Russia is actively trying to kill it too. ""Internet fibre, phone lines, cell towers...have been destroyed. Starlink is all that's left. For now,"" Musk tweeted. Ukraine's Vice Prime Minister Mykhailo Fedorov said Musk is among the world's top private donors supporting Ukraine.",russia try kill starlink internet service ukraine musk spacex ceo elon musk say starlink internet service leave ukraine russia actively try kill internet fibre phone line cell tower destroy starlink leave musk tweet ukraine vice prime minister mykhailo fedorov say musk among world top private donor support ukraine
"US soldiers testing Microsoft's goggles get nausea, headaches: Report","US soldiers testing Microsoft's new goggles for the Army suffered ""mission-affecting physical impairments"" including headaches and nausea, Bloomberg reported citing Pentagon's summary. One soldier reportedly said, ""The devices would have gotten us killed."" The defense department's testing director Nickolas Guertin said the system is ""experiencing too many failures of essential functions"".",technology,"US soldiers testing Microsoft's goggles get nausea, headaches: Report. US soldiers testing Microsoft's new goggles for the Army suffered ""mission-affecting physical impairments"" including headaches and nausea, Bloomberg reported citing Pentagon's summary. One soldier reportedly said, ""The devices would have gotten us killed."" The defense department's testing director Nickolas Guertin said the system is ""experiencing too many failures of essential functions"".",soldier test microsoft goggle get nausea headache report soldier test microsoft new goggle army suffer mission affect physical impairment include headache nausea bloomberg report cite pentagon summary one soldier reportedly say device would get kill defense department testing director nickola guertin say system experience many failure essential function
Ukraine's Kharkiv Art Museum to preserve art collection using NFTs,"Kharkiv Art Museum (KAM) in Ukraine on October 13 said the Binance NFT market now stocks 15 works of art from the museum's Art without Borders collection. As stated in the official announcement, the earnings from the project will be used to support the museum's operations. The NFT collection will also ""preserve the cultural heritage of Ukraine"", the announcement added.",technology,"Ukraine's Kharkiv Art Museum to preserve art collection using NFTs. Kharkiv Art Museum (KAM) in Ukraine on October 13 said the Binance NFT market now stocks 15 works of art from the museum's Art without Borders collection. As stated in the official announcement, the earnings from the project will be used to support the museum's operations. The NFT collection will also ""preserve the cultural heritage of Ukraine"", the announcement added.",ukraines kharkiv art museum preserve art collection use nft kharkiv art museum kam ukraine october say binance nft market stock work art museum art without border collection state official announcement earning project use support museum operation nft collection also preserve cultural heritage ukraine announcement add
"16-year-old UAE cricketer Aayan falls after tripping over boundary rope, video goes viral","While walking back to the pavilion after getting out against Netherlands in their T20 World Cup 2022 match, UAE's 16-year-old all-rounder Aayan Afzal Khan fell after tripping over the boundary rope. A video of the same went viral. In the video, the spectators sitting near the boundary rope can be seen jumping from their chairs on seeing Aayan fall.",sports,"16-year-old UAE cricketer Aayan falls after tripping over boundary rope, video goes viral. While walking back to the pavilion after getting out against Netherlands in their T20 World Cup 2022 match, UAE's 16-year-old all-rounder Aayan Afzal Khan fell after tripping over the boundary rope. A video of the same went viral. In the video, the spectators sitting near the boundary rope can be seen jumping from their chairs on seeing Aayan fall.",year old uae cricketer aayan fall trip boundary rope video go viral walk back pavilion get netherlands world cup match uaes year old rounder aayan afzal khan fall trip boundary rope video go viral video spectator sit near boundary rope see jump chair see aayan fall
"Impressed with his action, Rohit asks 11-year-old boy to bowl to him; video goes viral",A video has gone viral showing Team India captain Rohit Sharma asking an 11-year-old boy named Drushil Chauhan to bowl to him. Team India Analyst Hari Prasad Mohan revealed Drushil's smooth action caught everyone's attention at Perth's WACA stadium when around 100 kids were playing there and Rohit identified him. Drushil bowled to Rohit and also got his autograph.,sports,"Impressed with his action, Rohit asks 11-year-old boy to bowl to him; video goes viral. A video has gone viral showing Team India captain Rohit Sharma asking an 11-year-old boy named Drushil Chauhan to bowl to him. Team India Analyst Hari Prasad Mohan revealed Drushil's smooth action caught everyone's attention at Perth's WACA stadium when around 100 kids were playing there and Rohit identified him. Drushil bowled to Rohit and also got his autograph.",impressed action rohit ask year old boy bowl video go viral video go viral showing team india captain rohit sharma ask year old boy name drushil chauhan bowl team india analyst hari prasad mohan reveal drushil smooth action catch everyone attention perth waca stadium around kid play rohit identify drushil bowl rohit also get autograph
Players who test COVID-19 positive will be allowed to play T20 World Cup matches,The ICC confirmed that players who test COVID-19 positive will be permitted to play T20 World Cup 2022 matches. It stated that there will no mandatory testing during the tournament and no isolation period if a player gets COVID-19. Team doctors will assess whether it's appropriate for players to compete if they contract the virus on case to case basis.,sports,Players who test COVID-19 positive will be allowed to play T20 World Cup matches. The ICC confirmed that players who test COVID-19 positive will be permitted to play T20 World Cup 2022 matches. It stated that there will no mandatory testing during the tournament and no isolation period if a player gets COVID-19. Team doctors will assess whether it's appropriate for players to compete if they contract the virus on case to case basis.,player test covid positive allow play world cup match icc confirm player test covid positive permit play world cup match state no mandatory testing tournament no isolation period player get covid team doctor assess whether appropriate player compete contract virus case case basis
How much prize money did the Women's Asia Cup 2022 winners and runners-up get?,"India, who won Women's Asia Cup for a record-extending seventh time, received a total prize money of $20,000. Meanwhile, Sri Lanka, who finished runners-up, won a prize money of $12,500. India fast bowler Renuka Singh won a prize money of $1,000 for being the Player of the Match in the final. Meanwhile, Player of the Tournament Deepti Sharma got $2,000.",sports,"How much prize money did the Women's Asia Cup 2022 winners and runners-up get?. India, who won Women's Asia Cup for a record-extending seventh time, received a total prize money of $20,000. Meanwhile, Sri Lanka, who finished runners-up, won a prize money of $12,500. India fast bowler Renuka Singh won a prize money of $1,000 for being the Player of the Match in the final. Meanwhile, Player of the Tournament Deepti Sharma got $2,000.",much prize money womens asia cup winner runner get india win womens asia cup record extend seventh time receive total prize money meanwhile sri lanka finish runner win prize money india fast bowler renuka singh win prize money player match final meanwhile player tournament deepti sharma get
ICC names India's predicted playing XI for T20 World Cup 2022,"ICC, on its official website, named Team India's predicted playing XI for T20 World Cup 2022. ICC chose Dinesh Karthik as India's wicketkeeper and number six batter in the playing XI instead of Rishabh Pant. Other players include Rohit Sharma (captain), KL Rahul, Virat Kohli, Suryakumar Yadav, Hardik Pandya, Axar Patel, Harshal Patel, Bhuvneshwar Kumar, Yuzvendra Chahal and Arshdeep Singh.",sports,"ICC names India's predicted playing XI for T20 World Cup 2022. ICC, on its official website, named Team India's predicted playing XI for T20 World Cup 2022. ICC chose Dinesh Karthik as India's wicketkeeper and number six batter in the playing XI instead of Rishabh Pant. Other players include Rohit Sharma (captain), KL Rahul, Virat Kohli, Suryakumar Yadav, Hardik Pandya, Axar Patel, Harshal Patel, Bhuvneshwar Kumar, Yuzvendra Chahal and Arshdeep Singh.",icc name india predict play xi world cup icc official website name team india predict play xi world cup icc choose dinesh karthik india wicketkeeper number six batter playing xi instead rishabh pant player include rohit sharma captain kl rahul virat kohli suryakumar yadav hardik pandya axar patel harshal patel bhuvneshwar kumar yuzvendra chahal arshdeep singh
Darcie Brown bowls fastest delivery in the history of Women's Big Bash League,Adelaide Strikers Women's 19-year-old fast bowler Darcie Brown on Sunday created history by bowling the fastest ever delivery in the history of Women's Big Bash League. Darcie set the record by clocking 127.2 km/h in her first over against Melbourne Renegades Women. Darcie registered figures of 3-0-28-0 in the match.,sports,Darcie Brown bowls fastest delivery in the history of Women's Big Bash League. Adelaide Strikers Women's 19-year-old fast bowler Darcie Brown on Sunday created history by bowling the fastest ever delivery in the history of Women's Big Bash League. Darcie set the record by clocking 127.2 km/h in her first over against Melbourne Renegades Women. Darcie registered figures of 3-0-28-0 in the match.,darcie brown bowl fast delivery history women big bash league adelaide striker women year old fast bowler darcie brown sunday create history bowl fast ever delivery history women big bash league darcie set record clock km h first melbourne renegade woman darcie register figure match
"Namibia captain reacts to Sachin's tweet on their win vs SL, says 'Nam yaad rakhna'","After Sachin Tendulkar praised Namibia for defeating Sri Lanka in the T20 World Cup 2022 opener, writing, ""Namibia...has told the cricketing world today...'Nam' yaad rakhna,"" Namibia captain Gerhard Erasmus reacted to his tweet. Erasmus wrote, ""Nam yaad rakhna!"" Namibia defeated Sri Lanka by 55 runs in Geelong.",sports,"Namibia captain reacts to Sachin's tweet on their win vs SL, says 'Nam yaad rakhna'. After Sachin Tendulkar praised Namibia for defeating Sri Lanka in the T20 World Cup 2022 opener, writing, ""Namibia...has told the cricketing world today...'Nam' yaad rakhna,"" Namibia captain Gerhard Erasmus reacted to his tweet. Erasmus wrote, ""Nam yaad rakhna!"" Namibia defeated Sri Lanka by 55 runs in Geelong.",namibia captain react sachin tweet win vs sl say nam yaad rakhna sachin tendulkar praise namibia defeat sri lanka world cup opener write namibia tell cricket world today nam yaad rakhna namibia captain gerhard erasmus react tweet erasmus write nam yaad rakhna namibia defeat sri lanka run geelong
